name,category,expertise,address/state,address/street/0,address/neighborhood,address/city,address/phone,description,operation,price_avg,payment_methods/credit_card/0,payment_methods/credit_card/1,payment_methods/credit_card/2,payment_methods/credit_card/3,payment_methods/debit_card/0,payment_methods/debit_card/1,payment_methods/debit_card/2,services/0,services/1,services/2,location/lat,location/lng,payment_methods/credit_card/4,services/3,services/4,services/5,rating,vote_count
Boteco Beer,Bares,Bar Drinques,PE,"Rua Ernesto de Paula Santos, 827",Boa Viagem,Recife,3019-9029,"Inaugurado em junho de 2014, o boteco tem um salão aberto e outro climatizado. Entre os petiscos figuram o gratinado de queijo do reino, parmesão e catupiry (R$ 7,90), o caldinho de marisco (R$ 5,50) e a costela suína ao molho barbecue, servida com batata frita (R$ 34,90, para duas pessoas). Todas as sugestões vão bem com o chope Bossa Nova (R$ 2,99). Às sextas, a partir das 21h, rola sertanejo ao vivo; aos sábados, depois das 18h são formadas rodas de samba. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h30/0h (sex. e sáb. até 3h; fecha dom.),79,Dinners,Hipercard,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso wireless,Ar condicionado,Estacionamento,-8.0737826,-34.9230004,,,,,3,293
Apolo Beer Cafe,Bares,Bar Café,PE,"Rua do Apolo, 164",Recife Antigo,Recife,3088-8091,"Concebido por Leonardo Regis, Raphael Vasconcelos e Ricardo Barreto, o bar inaugurado em janeiro de 2015 funciona no Recife Antigo, num casarão decorado com pôsteres e cartazes de cerveja em estilo retrô. Não há cardápio: os cerca de 150 rótulos disponíveis ficam numa vitrine, de onde são retirados após a escolha do cliente. Entre as mais pedidas está a belga Vedett, feita com casca de laranja (R$ 17,90, 330 mililitros) e a catarinense Schornstein Imperial Stout, com notas de chocolate amargo e café (R$16,90, 500 mililitros). Da cozinha saem petiscos como a empada de queijo do reino (R$ 6,90) e a porção de presunto cru (R$ 15,00, 100 gramas). O mesmo endereço vende cafés como o expresso (R$ 3,90) e o apolo cold brew toffee, que consiste no café da marca Yaguara servido com gelo, calda de caramelo e leite (R$ 7,50). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/20h (qui. e sex. 11h/22h; sáb 16h/22h; fecha dom.),55,Dinners,Mastercard,Visa,,Maestro,Visa Electron,,Acesso wireless,,,-8.061377,-34.8744353,,,,,4.5,58
Casa do Guaiamum,Bares,Frutos do Mar Bar Regional,PE,"Rua Engenheiro Oscar Ferreira, 330",Casa Forte,Recife,(81) 3268-5240,"Os clientes podem escolher, direto do viveiro, guaiamuns de quatro tipos: pequeno (R$ 5,15), médio (R$ 7,25), grande (R$ 8,25) e especial (R$ 13,00), um pouco maior. O siri pode vir ensopado ao leite de coco (R$ 16,50) ou, mais simples, no casquinho (R$ 5,75). A moranga recheada com creme de camarão sai a R$ 34,90 e serve duas pessoas. Com mais R$ 3,85, ela chega escoltada por uma porção de arroz. A oferta de bebidas inclui caipirinha de vodca com cajá (R$ 6,90) e a cerveja Itaipava (R$ 5,50, 600 mililitros). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",16h/0h (sáb. a partir das 11h; dom. 11h/16h; fecha seg.),70,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso wireless,Acesso para deficientes,,-8.0288686,-34.9245237,Visa,,,,4,238
Buraco do Sargento,Bares,Bar,PE,"Pátio de São Pedro, 33",São José,Recife,(81) 3224-7522,"Longevo, o bar de 60 anos funciona em um dos pontos turísticos mais conhecidos do Recife, o Pátio de São Pedro. Espalhados pelas mesinhas dispostas na calçada, os clientes curtem o agito especialmente às sextas, quando uma animada roda de samba acontece das 19h às 22h. A carne de sol com batata frita (R$ 27,00) ou o cabrito guisado com fava verde (R$ 29,00) constam entre as sugestões, e servem de três a quatro pessoas. Para manter a energia, há chope Brahma (R$ 4,50) e uísque Teacher's, vendido por dose, a R$ 5,00. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",10h/21h (fecha dom.),57,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso wireless,,,-8.0671801,-34.8810885,,,,,4.5,227
Bar do Samuray,Bares,Bar Frutos do Mar,PE,"Rua Badejo, 258",Brasília Teimosa,Recife,3463-1357,"Os olhos puxados e os cabelos compridos ao estilo dos antigos guerreiros japoneses renderam um apelido a José Cícero da Silva: o Samuray. Proprietário do bar de mesmo nome localizado no bairro de Brasília Teimosa, ele recebe pessoalmente os clientes, acomodando-os em mesinhas na calçada ou próximo ao balcão. Ao lado da esposa, Isabel, e da filha, Carolina, também é responsável por preparar petiscos com peixes e frutos do mar, em porções generosas de 1 quilo. Saem da cozinha, por exemplo, siri mole (R$ 90,00) e camarão ao alho e óleo (R$ 95,00). Para beber, há cervejas de Itaipava (600 mililitros) e Heineken (long neck), ambas vendidas por R$ 6,00 a unidade. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",10h30/20h,22,,,,,,,,,,,-8.0817676,-34.88105,,,,,4,31
Migué,Bares,Bar Pub Drinques,PE,"Rua Sebastião Alves, 144",Parnamirim,Recife,3441-4543,"O nome do bar remete à malandragem inerente à vida dos botecos. Do salão climatizado ou da varanda ao ar livre, a clientela pode beliscar o camarão com fondue de queijo (provolone, queijo do reino e gorgonzola) e o espaguete ao alho (R$ 38,00), receitas do chef Daniel Bastos. Na carta de bebidas figuram drinques como o clericot, preparado com espumante brut, refrigerante cítrico, pedaços de maçã, pêra, pêssego e morango, xarope de açúcar e cachaça Santa Dose (R$ 16,00).Aos domingos, tem bufê de feijoada ao custo de R$ 19,00 por pessoa. O valor dá direito à caldinho, couve refogada, farofa e carnes à vontade. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",Funcionamento 18h/1h (qui. até 1h30; sex. até 2h30; sáb. até 2h30; dom. 12h/0h; fecha seg.),29,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0318063,-34.9087062,,Estacionamento,Valet/Manobrista,,3.9,152
Texas Café Bar,Bares,Bar Regional Carne,PE,"Rua Rosário da Boa Vista, 163",Boa Vista,Recife,3031-9274,"Instalado no térreo do histório Edifício Texas, o bar integra a nova cena boêmia que está crescendo no entorno do Largo de Santa Cruz. Na casa, mais conhecida por ser um espaço cultural que reúne artistas, também funcionam uma produtora, um ateliê de moda e um estúdio de fotografia. No terceiro andar, há uma área para exibição de filmes, shows e exposições. Após percorrer a entrada, toda grafitada, o cliente se acomoda nas mesinhas para beber cervejas artesanais, como a Turvalina e a Carranca (R$ 15,00 cada garrafa de 600 mililitros) e beliscar os tostex preparados nas baguetes, como o que reúne salame, tomate seco, mussarela e molho de tomate (R$ 9,00). A cozinha também é responsável por despachar pratos mais substanciosos, como o escondidinho de batata-doce com linguiça (R$ 24,50, 600 gramas). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",16h/23h (seg. até 20h; sáb. a partir das 14h; fecha dom.),78,,,,,Maestro,Rede Shop,Visa Electron,Acesso wireless,,,-8.0620876,-34.8897584,,,,,3,118
Esquina do Peneira,Bares,Bar Regional,PE,"Rua Prudente de Morais, 167",Quatro Cantos - Carmo,Olinda,3494-6810,"Sob o comando de Cícero João de Lima, o Peneira, o bar funcionou por anos na sede da Pitombeira dos Quatro Cantos, um dos mais tradicionais blocos de Carnaval de Olinda. Hoje, está em outro ponto conhecido da Cidade Alta e continua sendo ponto de encontro de artistas, jornalistas e cineastas. Na calçada ou nas mesinhas do salão, a conversa é regada a cervejas Skol (R$ 7,00) e Heineken (R$ 10,00). Para comer, tem sanduíche de pernil montado no pão francês com queijo do reino e salada(R$ 8,00). Também faz sucesso o arrumadinho de carne de sol (R$ 26,00, para duas pessoas). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/23h (seg. 10h/22h),33,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso wireless,,,-8.0147194,-34.8550896,Visa,,,,3.92,75
Guaiamundo 17,Bares,Frutos do Mar Bar Drinques,PE,"Avenida 17 de Agosto, 2267",Casa Forte,Recife,3268-0411/9555-7911,"Forró, sertanejo e brega são os ritmos que costumam aparecer na agenda musical da casa, que tem atrações como as bandas Santroppê e Helton Lima. Enquanto dançam, os frequentadores podem beber caipirosca de uva, morango, kiwi ou tangerina (R$ 9,90 cada uma) e petiscar o filé-mignon ao molho madeira. A pedida chega à mesa acompanhada de batata frita e custa R$ 29,90, para até três pessoas. Com oito unidades, a porção de pastel de camarão sai por R$ 18,90. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",21h/4h (sex. e sáb.),25,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0299785,-34.9277365,Visa,,,,3,231
Barchef Pub,Bares,Pub Danceteria,PE,"Rua 17 de Agosto, 1893",Poço da Panela,Recife,3204-8500,"Soul, rock, música eletrônica integram a agenda musical da casa, que recebe djs diferentes a cada dia da semana. A decoração mistura um sofá cor de vinho com grafites e cartazes do universo underground. Extensa, a carta de bebidas, executada sob o comando do bartender Luciano Mello, relaciona vinte shots e vinte drinques, como o que mistura vodca Absolut Vanilla com abacaxi, maracujá e coco (R$ 20,00). O chamado boris leva vodca, mix de uvas, limão e gengibre (R$ 18,00). Entre os shots, o iggy, reúne rum, abacaxi e limão (R$ 13,00). Em caneca de 300 mililitros, o chope Heineken sai por R$ 8,00. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",20h/2h (fecha dom. a ter.),61,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0327491,-34.9258574,Visa,Estacionamento,Valet/Manobrista,,4.5,60
Caldinho Corisco e Dadá,Bares,Bar Regional,PE,"Rua Engenheiro Oscar Ferreira, 336",Casa Forte,Recife,3304-4261,"As atrações musicais começam às 22h. Às quintas, MPB agita a o público. O forró anima os visitantes às sextas e aos sábados, enquanto os domingos são dedicados ao samba. Em todas as ocasiões, os clientes bebem caipirinha de limão (R$ 5,90) e caipirosca de maracujá (R$ 7,50). Para forrar o estômago e manter o agito, o público pode petiscar a maminha na chapa, que vem à mesa guarnecida de farofa e vinagrete (R$ 33,90). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",17h/2h (dom. até 23h; fecha seg. e ter.),58,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso wireless,,,-8.028783,-34.9245279,,,,,4,102
Lisbela e Prisioneiros Bar,Bares,Bar,PE,"Largo de Santa Cruz, 438",Boa Vista,Recife,3423-7648,"A casa tem esse nome pois funciona no largo em que cenas do filme Lisbela e o Prisioneiro foram gravadas. As terças-feiras são os dias mais movimentados, quando acontece a Terça do Vinil, evento badalado da cidade, com o DJ 440. Dá para dançar enquanto se bebe a caipifruta de morango, uva ou maracujá (R$ 10,90). As cervejas Itaipava ou Bavaria Premium, em garrafas de 600 mililitros, saem por R$ 7,90. Para matar a fome, escondidinho de camarão prisioneiro, em que o crustáceo vem empanado e coberto com purê de macaxeira e calda de morango (R$ 24,90). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",16h/0h (sex. e sáb. 2h; fecha seg.),20,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,,-8.0619506,-34.8899681,Visa,,,,4.2,21
Ilha do Guaiamum,Bares,Frutos do Mar Bar Brasileira,PE,"Rua Maria Carolina, 68",Boa Viagem,Recife,(81) 3466-2122,"Especializada em guaiamuns, a casa do grupo Ilha prepara o crustáceo em quatro tamanhos: médio (R$ 14,00), grande (R$ 16,00), gigante (R$ 20,00) e extra-gigante (R$ 29,00). Entre os petiscos também aparece o ensopado de aratu, por R$ 45,00, que faz bom par com a caipirinha de vodca e seriguela (R$ 14,00) ou com o chope Brahma, vendido por R$ 7,00. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.","11h/2h (sex., sáb. e feriados até 4h)",69,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.1153747,-34.8959057,Visa,Atividades para crianças,Valet/Manobrista,Vinho em taça,4,299
Bar do Guaiamum,Bares,Frutos do Mar Bar Brasileira,PE,"Avenida Ministro Marcos Freire, 1023",Bairro Novo,Olinda,(81) 3429-3383,"As mesas do bar são bastante disputadas aos domingos e às quarta-feiras, quando são transmitidos jogos de futebol. Principal item do cardápio, o guaiamum é servido nos tamanhos pequeno (R$ 15,00), médio (R$ 18,00) e grande (R$ 25,00). A porção com quatro unidades de casquinhos de caranguejo (R$ 26,00) ou de codorna frita (R$ 14,00) são petiscos de grande saída para acompanhar a caipirinha de limão com Pitú Gold (R$ 6,00) e a cerveja Original (R$ 8,50 a garrafa). Para duas pessoas, a cioba inteira chega à mesa com molho de camarão, arroz e purê (R$ 69,90). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",9h/0h (fecha seg.),63,Dinners,Hipercard,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Estacionamento,-8.0027385,-34.8484795,,,,,4.4,107
Biruta Bar,Bares,Bares de praia,PE,"Rua Bem-te-vi, 15",Brasília Teimosa,Recife,(81) 3326-5151,"O acesso à casa se dá pelas areias da praia do Pina. Nas mesinhas instaladas no salão ou na concorrida varanda, o público belisca porções como a de filé de agulha branca ao molho tártaro (R$ 37,40, 250 gramas). Igualmente requisitado é o tacho de frutos do mar, com camarão, polvo, lula e pescada-amarela cozidos, ladeado por pãezinhos de alho e molho shoyu (R$ 56,40, 400 gramas). Os petiscos podem ser acompanhados de cerveja Kirin Ichiban (R$ 8,90 a long neck) ou Devassa (R$ 7,90, 600 mililitros). Novidade do cardápio, o bufê servido de segunda a sexta expõe grelhados, saladas, tortas e comida regional (R$ 35,00 o quilo). Shows de bandas locais animam o fim de semana. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/0h (sex. e sáb. até 2h; dom. 10h/18h; fecha seg.),35,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Atividades para crianças,-8.0891729,-34.882399,Visa,Estacionamento,,,1.18,246
Camaleão Bar,Bares,Bar Danceteria,PE,"Rua Correia de Araújo, 81",Graças,Recife,3423-2620/6693,"Com ar retrô, o bar foca sua programação musical nos hits dos anos 80, disparados por dois DJs residentes. Às quartas, a partir das 20h30 rolam apresentações de stand-up comedy. Enquanto se divertem, os clientes podem tomar caldinho de feijão guarnecido de ovo de codorna, azeitona e charque (R$ 6,50) ou petiscar o camarão empanado, que chega acompanhado de molho de abacaxi e batata (R$ 32,00, para duas pessoas). As cervejas Heineken (R$ 6,90 a long neck) e a caipirinha de kiwi, uva ou limão (R$ 11,50) mantêm a animação do público. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.","19h/1h (sex. e sáb. até 4h; fecha dom., seg. e ter.)",23,Mastercard,Visa,,,Maestro,Visa Electron,,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0512217,-34.8999917,,,,,2.5,205
Confraria do Mar,Bares,Happy hour,PE,"Rua Frederico, 82",Encruzilhada,Recife,(81) 3427-9432,"Música ao vivo, especialmente MPB e pop rock, animam as noites das 20h às 0h. Às quintas, é a vez de montarem uma roda de samba. O bar também dispõe de um ambiente sem programação musical, onde o cliente é isento de pagar couvert artístico. Dedicado aos frutos do mar, o cardápio lista, por exemplo, caranguejo (R$ 1,99 a R$ 4,20, a depender do tamanho pescado no dia) e camarão ao alho e óleo (R$ 24,90, com 500 gramas). Para beber, o público prefere cerveja Original (R$ 10,90 a garrafa) ou a martininha, uma versão de caipirinha feita com Martini (R$ 10,90). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/1h (dom. até 23h; fecha seg.),48,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Atividades para crianças,-8.0341234,-34.8930548,Visa,Levar vinhos (permite),,,3.88,156
Sr. Chopp,Bares,Cervejarias e choperias,PE,"Rua da Hora, 885",Espinheiro,Recife,3465-3230,"O chopp Brahma é servido por R$ 6,40 (350 mililitros), R$ 9,00 (500 mililitros) e R$ 5,00 (R$ 220 mililitros). Para acompanhar a bebida, chegam às mesas porções como o mix do sertão, que reúne carne de sol desfiada e acebolada, linguiça matuta e queijo de coalho na chapa. A sugestão custa R$ 38,90, mesmo preço da costelinha suína ao molho barbecue servida com batata frita. De quarta à sábado, há música ao vivo, que pode ser MPB, pop rock, samba ou sertanejo universitário. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/0h (sex. a sáb. até 3h; dom. até 22h),46,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0485786,-34.8978136,Visa,Atividades para crianças,Estacionamento,Valet/Manobrista,3.1,107
Fiteiro Bar,Bares,Botecos,PE,"Rua Afonso Célso, 2",Tamarineira,Recife,3126-6228,"Garrafas de cachaça, paredes coloridas e plaquinhas com ditados populares compõem a decoração das quatro unidades, uma delas em Porto de Galinhas. Os clientes podem petiscar o filé-mignon com batata frita (R$ 29,90, 450 gramas) e o sanduíche de filé-mignon com queijo do reino, montado em pão francês e escoltado por batata frita (R$ 26,90 no Recife). Podem escoltar as pedidas o chope Brahma (R$ 6,50, 350 mililitros) e a caipirosca de morango com vodca Smirnoff (R$ 16,90). De quinta a sábado, há música ao vivo com grupos variados. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",12h/15h (qua. a dom. até 23h),44,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso wireless,,,-8.0484447,-34.9131346,Visa,,,,3.52,110
Bar Ao Seu Dispor,Bares,Botecos,PE,"Rua Ana Neri, 4",Torre,Recife,9804 7636,"Uma radiola de ficha com mais de 1 000 títulos fica disponível no térreo do bar (R$ 2,00, com direito a três músicas) e anima o público. Enquanto nesse ambiente predomina o rock, o jazz, o blues e a MPB são os gêneros favoritos no piso superior. O cardápio destaca sugestões como arrumadinho de carne de sol (R$ 35,00, para quatro pessoas) e macaxeira frita com charque desfiada e acebolada, guarnecida de molho de rapadura (R$ 19,00, para duas pessoas). Ambos os pedidos casam bem com as cervejas Itaipava (R$ 4,80) e Heineken (R$ 7,50) ou com um dos trinta rótulos de cachaça. Entre eles, estão as paraibanas Volúpia e Serra Limpa (R$ 5,00 e R$ 6,00 cada dose, respectivamente). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",10h30/5h30 (seg. até 0h; ter. até 1h; qua. até 2h; qui. até 3h; dom. até 22h),41,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso wireless,,,-8.0421938,-34.9104352,,,,,4.19,33
Aconchego do Matuto,Bares,Happy hour,PE,"Avenida Lins Petit, 273",Boa Vista,Recife,(81) 3223-0446 e 3221-9358,"O bar é bastante frequentado por estudantes, que partilham baião de dois com carne de sol na chapa (R$ 40,90, para duas pessoas) enquanto bebericam cerveja Itaipava (R$ 5,50 a garrafa). Outra sugestão do cardápio regional é o bode guisado, servido com macaxeira cozida e cuscuz (R$ 42,00, para dois). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/2h (qui. até 4h; sex. a dom. até 5h),30,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Vinho em taça,-8.0616948,-34.8971901,,,,,1.26,265
Black Tie,Bares,Danceteria,PE,"Rua Manoel Bezerra, 326",Madalena,Recife,3236-5267 e 8775-3760,"Com 15 anos de tradição, a pista é agitada por orquestras ao som de ritmos como bolero, samba, merengue, salsa e cumbia. Para beliscar, há camarão à milanesa levado à mesa na companhia de batata frita e queijo ralado (R$ 39,00) e porção de filé-mignon com batata frita (R$ 35,00). Entre as bebidas do cardápio estão cervejas como a Skol (R$ 6,00, 600 mililitros) e o uísque Teacher's (R$ 90,00 a garrafa). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",21h/3h (ter. e qua. 19h/23h; fecha seg. e qui.),43,Hipercard,Mastercard,Visa,,Rede Shop,Visa Electron,,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0549027,-34.9139599,,Estacionamento,Vinho em taça,,2.37,66
Texanno's,Bares,Happy hour,PE,"Rua João Tude de Melo, 77 - Shopping Parnamirim",Parnamirim,Recife,3204-9342,"Espalhadas pelas paredes, dezoito TVs exibem jogos de futebol, combates de MMA, ligas norte-americanas de basquete e de beisebol. Enquanto isso, os clientes podem petiscar tulipas de frango empanado com molho blue cheese (R$ 24,90, oito unidades) ou hambúrguer caseiro com alface, tomate, cebola, bacon, queijo mussarela e ovo, acompanhado de batata frita e molho barbecue (R$ 36,90, para duas pessoas). Pagam-se R$ 49,90 para consumir chope Brahma à vontade durante quatro horas, ou R$ 6,50 por cada long neck de Heineken. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",17h/1h (fecha seg. e ter.),29,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0360056,-34.9103288,Visa,Estacionamento,,,2.41,269
Bar do Deca,Bares,Botecos,PE,"Rua José Maria de Miranda, 140",Boa Viagem,Recife,(81) 3465-9656,"Há 45 anos, José Lucas Ferreira, o Deca, prepara neste conhecido endereço de Boa Viagem tira-gostos de sotaque regional. Queijo de coalho acebolado (R$ 15,00) e guisado de boi com pão francês e farinha (R$ 15,00) estão entre as sugestões. Para beber, tem uísque Teacher's (R$ 5,00 a dose) e cervejas Skol e Brahma de 600 mililitros (R$ 7,00 cada uma). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",12h/3h,60,,,,,,,,,,,-8.218402,-35.0863753,,,,,1.42,60
Guaiamundo,Bares,Guaiamum,PE,"Estrada do Encanamento, 1580",Casa Forte,Recife,3269-0787,"O guaiamum tem cinco tamanhos diferentes - pequeno (R$ 7,00), médio (R$ 8,50), grande (R$ 10,90), extra (R$ 15,90) e especial (R$ 25,00) - e pode ser preparado em água, sal e verduras ou com leite de coco, que soma R$ 1,50 à conta. O camarão embebido na cerveja e empanado (R$ 32,50) é outra sugestão de petisco. Filé de pescada-amarela, camarão, sururu e marisco ao leite de coco e dendê compõem a caldeirada, que chega à mesa escoltada por farofa, para duas pessoas (R$ 29,90). Na seleção etílica aparecem a cerveja Baden Baden (R$ 25,90, 600 mililitros) e o drinque alexander, com vodca, licor de cacau, creme de leite e açúcar (R$ 9,90). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.","17h/1h (qui. e sex. até 2h; sáb. 11h/2h; dom. 11h/17h, fecha seg.)",39,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Atividades para crianças,-8.0286133,-34.9259086,Visa,,,,1.17,61
Ostreiro,Bares,Happy hour,PE,"Avenida Conselheiro Aguiar, 826",Boa Viagem,Recife,3466-2063,"Apresentações de voz e violão, com predominância de MPB, dão o ritmo das quartas. Às sextas, o bar recebe o sertanejo de Paulo Vitor e convidados. Aos sábados, um repertório variado como samba e sertanejo anima o público. Aos domingos, é montado um bufê de feijoada ao som de samba de roda (R$ 32,90, com caipirinha à vontade). Da seleção de petiscos, o camarão envolvido em queijo e empanado em farinha panko chega à mesa com molhos rosé e de maracujá (R$ 45,00, dez unidades). A cerveja mexicana Corona (R$ 14,90 a long neck) figura entre os trinta rótulos de bebida. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",18h/1h (sab. 12h/1h; dom. 12h/16h; fecha seg.),62,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0977755,-34.8876844,,Valet/Manobrista,,,4.09,77
